approach,version,challenge_type,scenarios,success_count,success_rate,collision_count,collision_rate,timeout_count,timeout_rate,invalid_count,invalid_rate,average_steps,average_optimal_steps,efficiency_score
gpt_pdd_group_b3,8,all,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
gpt_sdd,1,all,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_sdd_a,1,all,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_sdd_a,2,all,15,5,0.333,0,0.0,10,0.667,0,0.0,18.533,9.467,0.299
gpt_sdd_a,3,all,15,7,0.467,0,0.0,8,0.533,0,0.0,17.467,9.467,0.313
gpt_sdd_a,4,all,15,5,0.333,0,0.0,10,0.667,0,0.0,19.0,9.467,0.234
gpt_sdd_b,1,all,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_sdd_b,2,all,15,7,0.467,0,0.0,8,0.533,0,0.0,18.667,9.467,0.281
gpt_sdd_b,3,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.8,9.467,0.085
gpt_sdd_b,4,all,15,5,0.333,0,0.0,10,0.667,0,0.0,20.333,9.467,0.207
gpt_sdd_c,1,all,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_sdd_c,2,all,15,7,0.467,0,0.0,8,0.533,0,0.0,17.867,9.467,0.313
gpt_sdd_c,3,all,15,1,0.067,0,0.0,14,0.933,0,0.0,21.933,9.467,0.067
gpt_sdd_c,4,all,15,4,0.267,0,0.0,11,0.733,0,0.0,20.8,9.467,0.171
opus_pdd,1,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,2,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,3,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,4,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,5,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,1,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,2,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,3,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,4,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,5,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a1,1,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a1,2,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a1,3,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a2,4,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a2,5,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a3,6,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a3,7,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b1,1,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
opus_pdd_group_b1,2,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.667,9.467,0.087
opus_pdd_group_b1,3,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.667,9.467,0.087
opus_pdd_group_b1,4,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.667,9.467,0.108
opus_pdd_group_b1,5,all,15,6,0.4,0,0.0,9,0.6,0,0.0,17.733,9.467,0.291
opus_pdd_group_b1,6,all,15,6,0.4,0,0.0,9,0.6,0,0.0,18.2,9.467,0.278
opus_pdd_group_b1,7,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b1,8,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b2,1,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
opus_pdd_group_b2,2,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.467,9.467,0.09
opus_pdd_group_b2,3,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.467,9.467,0.09
opus_pdd_group_b2,4,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.2,9.467,0.097
opus_pdd_group_b2,5,all,15,3,0.2,0,0.0,12,0.8,0,0.0,20.467,9.467,0.14
opus_pdd_group_b2,6,all,15,5,0.333,0,0.0,10,0.667,0,0.0,18.0,9.467,0.248
opus_pdd_group_b2,7,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b2,8,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b3,1,all,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
opus_pdd_group_b3,2,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.2,9.467,0.097
opus_pdd_group_b3,3,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.667,9.467,0.087
opus_pdd_group_b3,4,all,15,1,0.067,0,0.0,14,0.933,0,0.0,21.933,9.467,0.067
opus_pdd_group_b3,5,all,15,8,0.533,0,0.0,7,0.467,0,0.0,16.8,9.467,0.39
opus_pdd_group_b3,6,all,15,7,0.467,0,0.0,8,0.533,0,0.0,17.4,9.467,0.337
opus_pdd_group_b3,7,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_b3,8,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_sdd,1,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_sdd_a,1,all,15,9,0.6,0,0.0,6,0.4,0,0.0,17.4,9.467,0.397
opus_sdd_a,2,all,15,1,0.067,0,0.0,14,0.933,0,0.0,21.933,9.467,0.067
opus_sdd_a,3,all,15,8,0.533,0,0.0,7,0.467,0,0.0,17.467,9.467,0.371
opus_sdd_a,4,all,15,6,0.4,0,0.0,9,0.6,0,0.0,18.267,9.467,0.269
opus_sdd_b,1,all,15,7,0.467,0,0.0,8,0.533,0,0.0,17.333,9.467,0.323
opus_sdd_b,2,all,15,1,0.067,0,0.0,14,0.933,0,0.0,21.933,9.467,0.067
opus_sdd_b,3,all,15,5,0.333,0,0.0,10,0.667,0,0.0,20.533,9.467,0.199
opus_sdd_b,4,all,15,5,0.333,0,0.0,10,0.667,0,0.0,20.533,9.467,0.199
opus_sdd_c,1,all,15,8,0.533,0,0.0,7,0.467,0,0.0,16.867,9.467,0.369
opus_sdd_c,2,all,15,8,0.533,0,0.0,7,0.467,0,0.0,16.867,9.467,0.369
opus_sdd_c,3,all,15,6,0.4,0,0.0,9,0.6,0,0.0,17.867,9.467,0.287
opus_sdd_c,4,all,15,6,0.4,0,0.0,9,0.6,0,0.0,18.2,9.467,0.274
oracle,1,all,15,7,0.467,0,0.0,8,0.533,0,0.0,17.467,9.467,0.313
random_baseline,1,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
target,1,all,15,5,0.333,0,0.0,10,0.667,0,0.0,17.667,9.467,0.256
target,2,all,15,15,1.0,0,0.0,0,0.0,0,0.0,12.867,9.467,0.725
